date,symbol,open,high,low,close,volume
2020-01-02,VN01,42174.500901381114,42479.47776348959,41933.23133090638,42237.8458129209,228751
2020-01-02,VN02,47589.66213606834,47872.32764292004,47235.84763589408,47518.08801818297,490278
2020-01-02,VN03,36077.00451103641,36274.02300230713,35909.50727064528,36106.38933493214,455603
2020-01-02,VN04,63555.783395956176,64702.531982858694,63020.89043376498,64162.53254830471,1291034
2020-01-03,VN01,42231.70053364863,42946.01909497739,41966.64760890319,42678.16409333729,460921
2020-01-03,VN02,47735.770720672095,48461.19560062719,47369.59188814621,48092.28198709016,1539727
2020-01-03,VN03,36014.921852048385,36226.40233637901,35673.45776760755,35884.17047672842,369018
2020-01-03,VN04,64064.830823328724,64724.56945282766,63702.9779878519,64361.043540093175,1039182
2020-01-06,VN01,42692.67401784852,42955.63759819698,41712.855515733565,41971.37629562749,607543
2020-01-06,VN02,48030.56752985333,48857.63359568908,47783.19444331146,48607.29019931826,283524
2020-01-06,VN03,35968.12888941083,36329.17404105313,35823.653584269145,36183.83230726817,384632
2020-01-06,VN04,64482.816914065,64957.06930691641,63764.98421862834,64237.431875782015,244666
2020-01-07,VN01,41779.152114819255,41901.87254320554,41347.2702991717,41469.0799338018,398781
2020-01-07,VN02,48563.027122826905,48982.14138776619,47186.9135909791,47597.69674985557,317848
2020-01-07,VN03,36198.05004943812,36358.581786239054,35792.455613081474,35951.89570032864,212518
2020-01-07,VN04,64179.28460987452,64689.74145793807,62614.47502192741,63116.4787290228,181449
2020-01-08,VN01,41409.68654067388,41666.027017600536,40210.2847021791,40460.75093503285,644094
2020-01-08,VN02,47648.070669604684,47933.31589700114,46734.47955551638,47015.94053516876,501556
2020-01-08,VN03,35786.52083563247,35926.80212478498,35686.11505502312,35826.28477899187,291045
2020-01-08,VN04,63087.80947278573,63630.01360671529,62578.18859998284,63120.13163672839,719843
2020-01-09,VN01,40342.150249645616,40721.24779775008,39199.9251287326,39571.7834953385,426520
2020-01-09,VN02,46998.90921248193,47355.246693428904,46648.36992145632,47004.664477016646,587515
2020-01-09,VN03,35960.79373061093,36289.57151873351,34926.386476191146,35248.65339791936,1126618
2020-01-09,VN04,63124.33965983594,63648.49000610037,61569.40171543669,62084.921294248,262824
2020-01-10,VN01,39475.878503324486,39560.046535992275,38703.12396056341,38785.82069454466,638569
2020-01-10,VN02,46976.85287118886,47107.10873327106,45850.628159245774,45978.114753346345,406555
2020-01-10,VN03,35401.43827379684,35600.20959916059,35016.258174529234,35213.976945576505,313583
2020-01-10,VN04,62304.438741910686,62607.29786934878,61700.32263626737,62001.71021368816,456195
2020-01-13,VN01,38909.460815973565,39408.59282170599,38592.408758513964,39090.06908557824,975970
2020-01-13,VN02,45824.70314155285,46464.50362782082,45510.03864689115,46147.62174792529,400007
2020-01-13,VN03,35207.025874392566,35503.28609819697,34597.64416882748,34891.247176769226,254040
2020-01-13,VN04,62128.41804152025,62736.49573674088,61481.76365173416,62089.46004822678,728942
2020-01-14,VN01,38995.48394426723,39241.09251791467,38159.36184631116,38401.22756445164,305097
2020-01-14,VN02,46146.02671044414,46228.14308997511,45848.37507969192,45930.10723273485,659247
2020-01-14,VN03,34862.587112994435,35072.92396047399,34091.76556996794,34298.70031273514,546084
2020-01-14,VN04,62160.76729576877,62340.00894702184,60772.58625549535,60948.33182803626,185983
2020-01-15,VN01,38397.48112703822,38566.288895422236,38159.3562539762,38327.85793625459,494709
2020-01-15,VN02,45869.0266836128,46398.731544391885,45827.208917724565,46356.46938789053,596270
2020-01-15,VN03,34282.25456927984,34428.433800419225,34085.03046033288,34230.99110451059,983624
2020-01-15,VN04,60845.372680934444,61947.59884297168,60349.220790430234,61446.54480995132,143919
2020-01-16,VN01,38429.683264047126,38963.53912877036,38006.9167287826,38539.56379325867,342895
2020-01-16,VN02,46518.92608978928,47095.02859306015,46275.22237667632,46849.59258174802,253717
2020-01-16,VN03,34130.996149834864,34307.90689335551,33420.892118657386,33595.02476876657,203879
2020-01-16,VN04,61192.32056039812,61848.04176629567,60749.604511747944,61403.79573069738,529725
2020-01-17,VN01,38472.147708241704,38873.73090516175,38168.00040140384,38568.81934625838,474490
2020-01-17,VN02,46941.47335258265,47117.51237316979,46606.772656848625,46782.21442764441,428887
2020-01-17,VN03,33705.92857276987,34183.33046358995,33550.9007707645,34026.826715487274,404461
2020-01-17,VN04,61578.95932276664,62328.23689714316,61074.99417719175,61822.280400243384,470669
